Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          41          65  8.314390574716182E-005 -1.591669581801320E-019 
          41          66  -3.671931427679363E-004 1.032191158891770E-020 
          41          67  -1.093922844299399E-004 5.200752896064934E-020 
          41          68  -1.589234855859446E-004 8.154411135833017E-020 
          41          69  -1.460850991586160E-004 5.072799497451803E-020 
          41          70  -1.052764949691697E-004 6.126939572640256E-020 
          41          71  5.325957036710158E-005 -1.264512268299667E-020 
          41          72  4.865528540912017E-005 6.881712227045291E-021 
          41          73  4.018890149029295E-005 -2.724575816986305E-020 
          41          74  3.417283313378839E-005 -8.994922636412627E-021 
          41          75  3.695056455460458E-005 -1.816151504601058E-020 
          41          76  9.546428773314969E-006 -7.275138065889139E-021 
          41          77  -2.544834906841403E-005 -5.191913277431533E-022 
          41          78  9.501248400054892E-006 -2.096925978748829E-020 
          41          79  -1.140950674488571E-005 4.548803238728694E-021 
          41          80  -1.069348912879795E-005 2.043106527069822E-021 
          41          81  -8.949209941715207E-006 -2.197907127350321E-021 
          41          82  -7.639425143114990E-006 2.351081498584570E-022 
          41          83  -7.174971567087061E-006 5.281786882242226E-021 
          41          84  -9.050524209290855E-006 1.453656107982264E-021 
          41          85  3.817174993036994E-006 -1.241584201984496E-021 
          41          86  1.524217527513635E-006 4.112090464302095E-022 
          41          87  2.945698918989966E-006 -2.439450846250885E-022 
          41          88  3.642795816881595E-006 -1.001202409859226E-021 
          41          89  2.722200198370213E-006 -1.481505937144952E-022 
          41          90  1.661873305637943E-006 8.072119542827230E-022 
          41          91  -1.325128111653902E-006 7.214261588264589E-022 
          41          92  -4.903141832964818E-007 -5.942679005689350E-022 
          41          93  -1.298659363712587E-006 5.187468605424919E-023 
          41          94  -1.188150685085101E-006 7.516281522186060E-022 
          41          95  -4.883486224747202E-007 -5.250850053544791E-022 
          41          96  -1.304475569463268E-006 3.125923536340133E-022 
          41          97  3.075616401531692E-007 2.352763863528587E-023 
          41          98  1.479250541670638E-007 -2.106246760804471E-023 
          41          99  4.050499014073692E-007 -3.247566329112458E-023 
          41         100  1.366594392783750E-007 -3.972145052905373E-023 
          41         101  2.861480556929043E-007 -9.306706322095363E-023 
          41         102  3.579948714139617E-007 -1.808043742258722E-022 
          41         103  -4.489213990593104E-008 2.294871961303634E-023 
          41         104  -5.685937604165230E-008 1.675119143907654E-023 
          41         105  -5.469314551908264E-008 -2.422503066876759E-023 
          41         106  -4.025722367162387E-008 1.177359960784034E-023 
          41         107  -2.767970240026783E-008 6.215850342738969E-024 
          41         108  -3.527064758494386E-008 -1.150833857037839E-023 
          42          37  -0.110664610308341 -3.756234917127698E-017 
          42          38  8.208231241364605E-003 -1.644714547766974E-019 
          42          39  2.914628042624247E-003 1.461021884552589E-018 
          42          40  8.166413863352050E-003 1.150911956002661E-017 
          42          41  -0.110386343717837 9.136210027787439E-018 
          42          42  0.562933843614491 1.311196933116681E-016 
          42          43  1.440432320562243E-002 9.874085215253736E-018 
          42          44  -4.398744528992598E-003 3.634937328325051E-018 
          42          45  -4.369784265327819E-003 -2.726576115797829E-018 
          42          46  1.433005556063281E-002 -1.583975133346599E-017 
          42          47  -0.103534392753731 -2.194065519043311E-017 
          42          48  -0.103826064548222 4.794877131623794E-018 
          42          49  -4.239088632064841E-003 1.179259547857300E-017 
          42          50  1.251394152424349E-004 5.663433605371627E-018 
          42          51  -4.201128151819567E-003 4.644931989075968E-018 
          42          52  6.824527217824619E-003 2.912357990768959E-018 
          42          53  1.120516365563884E-002 -2.993326313730386E-019 
