Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
    19     6    0.91101194  104.37430869
    20     1    0.92547954  105.29978823
    20     2    0.92548406  106.22527230
    20     3    0.92549827  107.15077057
    20     4    0.92551056  108.07628113
    20     5    0.92551182  109.00179295
    20     6    0.92549333  109.92728628
    21     1    0.92251477  110.84980105
    21     2    0.92252303  111.77232408
    21     3    0.92252478  112.69484885
    21     4    0.92252103  113.61736988
    21     5    0.92251843  114.53988831
    21     6    0.92250814  115.46239645
    22     1    0.90553310  116.36792954
    22     2    0.90553491  117.27346445
    22     3    0.90553965  118.17900410
    22     4    0.90554124  119.08454534
    22     5    0.90554069  119.99008603
    22     6    0.90552898  120.89561501
    23     1    0.90737741  121.80299242
    23     2    0.90738149  122.71037391
    23     3    0.90739426  123.61776817
    23     4    0.90740245  124.52517062
    23     5    0.90740090  125.43257153
    23     6    0.90738243  126.33995396
    24     1    0.94333523  127.28328919
    24     2    0.94333918  128.22662836
    24     3    0.94334558  129.16997394
    24     4    0.94334717  130.11332112
    24     5    0.94334323  131.05666435
    24     6    0.94333565  132.00000000
 
 Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.94401721    0.94401721
     1     2    0.94402459    1.88804180
     1     3    0.94402859    2.83207039
     1     4    0.94402698    3.77609737
     1     5    0.94402078    4.72011815
     1     6    0.94401680    5.66413496
     2     1    0.90826206    6.57239702
     2     2    0.90828016    7.48067718
     2     3    0.90828182    8.38895900
     2     4    0.90827373    9.29723273
     2     5    0.90826134   10.20549407
     2     6    0.90825705   11.11375112
     3     1    0.90600161   12.01975273
     3     2    0.90601319   12.92576591
     3     3    0.90601377   13.83177968
     3     4    0.90601206   14.73779174
     3     5    0.90600715   15.64379889
     3     6    0.90600562   16.54980451
     4     1    0.92281506   17.47261957
     4     2    0.92282513   18.39544470
     4     3    0.92282757   19.31827227
     4     4    0.92283167   20.24110394
     4     5    0.92283035   21.16393429
     4     6    0.92282218   22.08675647
     5     1    0.92655362   23.01331009
     5     2    0.92657163   23.93988172
     5     3    0.92657051   24.86645223
     5     4    0.92655944   25.79301168
     5     5    0.92654630   26.71955797
     5     6    0.92654116   27.64609913
     6     1    0.91238700   28.55848613
     6     2    0.91240699   29.47089312
     6     3    0.91240959   30.38330270
     6     4    0.91239638   31.29569908
     6     5    0.91237879   32.20807787
     6     6    0.91237022   33.12044809
     7     1    0.90769169   34.02813978
     7     2    0.90770661   34.93584639
     7     3    0.90772113   35.84356752
     7     4    0.90772429   36.75129181
     7     5    0.90771343   37.65900524
     7     6    0.90769345   38.56669869
     8     1    0.91842245   39.48512115
     8     2    0.91843763   40.40355877
     8     3    0.91845462   41.32201339
     8     4    0.91846150   42.24047489
     8     5    0.91845183   43.15892672
     8     6    0.91842843   44.07735515
     9     1    0.92166771   44.99902286
     9     2    0.92168859   45.92071145
     9     3    0.92169864   46.84241009
     9     4    0.92169284   47.76410294
     9     5    0.92167689   48.68577982
     9     6    0.92165900   49.60743882
    10     1    0.91183203   50.51927086
    10     2    0.91185434   51.43112519
    10     3    0.91186435   52.34298955
    10     4    0.91185653   53.25484608
    10     5    0.91183844   54.16668452
    10     6    0.91182017   55.07850469
