Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= ****
          42          69  -6.226595165626205E-004 3.546394524563336E-019 
          42          70  -9.429359340709930E-004 -2.981985188316046E-020 
          42          71  -7.232217651715620E-004 1.239476140237127E-019 
          42          72  -1.794524627054331E-003 -5.149929587172385E-019 
          42          73  -5.981248184178106E-004 2.446413597053604E-019 
          42          74  -5.070619809005731E-004 -1.809559861553010E-020 
          42          75  7.483591316010884E-007 4.745193654982765E-019 
          42          76  -5.688635901307469E-004 1.921628965692817E-019 
          42          77  -4.660850233228038E-004 3.481266885056303E-019 
          42          78  -1.626599442806828E-003 -4.524911533660832E-019 
          42          79  -2.350567546528715E-004 6.919105527391068E-020 
          42          80  -6.770819015900926E-004 -3.670418263571064E-019 
          42          81  -6.181178046397692E-004 1.068010564787935E-019 
          42          82  -2.365127849112856E-004 -5.731293581487356E-021 
          42          83  -1.500350892971949E-004 -1.464863695455077E-020 
          42          84  -3.131552815452600E-004 3.134796431485011E-020 
          42          85  -2.704651452472885E-004 8.183650334453820E-020 
          42          86  -5.896008289631275E-004 -3.894454152968165E-020 
          42          87  -2.864282546388613E-004 2.921831952087451E-020 
          42          88  -1.459141519913381E-004 -3.360030517548162E-020 
          42          89  -1.101036787205905E-005 5.332709332587504E-020 
          42          90  -1.933715947058268E-004 4.042013617426500E-020 
          42          91  -1.427461935307002E-005 5.357444646006815E-021 
          42          92  -4.269284976779305E-005 5.119602612530736E-021 
          42          93  -3.125930185404103E-005 4.254565431020907E-021 
          42          94  -8.602779051563126E-005 3.326946098646626E-020 
          42          95  -8.145097360284350E-005 3.948995365977084E-019 
          42          96  -2.261018089239135E-005 -3.137879888315732E-021 
          42          97  1.826317192760941E-005 -8.475572595791737E-022 
          42          98  -2.367232517281581E-006 7.671269528355779E-020 
          42          99  -3.512733687106372E-005 -6.864923691015987E-021 
          42         100  -5.261059425874743E-005 -1.678690693903986E-020 
          42         101  -2.683568039477638E-005 5.484428004702787E-020 
          42         102  7.897551741542945E-006 1.189692889394336E-019 
          42         103  1.979305559264171E-005 -8.234800800475782E-022 
          42         104  2.486199790108603E-005 1.257154856312844E-021 
          42         105  2.033290145260698E-005 -5.987252926871218E-021 
          42         106  2.300091208848095E-005 -1.498015069593653E-020 
          42         107  2.222473241870612E-005 6.455083614115810E-021 
          42         108  2.552588361218857E-005 -3.783367879403925E-021 
          43          37  -6.793211503965253E-002 3.252999537878207E-018 
          43          38  -8.279599719575169E-002 5.292997583543246E-018 
          43          39  2.884004350725180E-003 2.336350396822238E-018 
          43          40  -4.698607408019380E-003 -1.009263981680664E-018 
          43          41  -2.160206579617506E-003 8.237888132533285E-020 
          43          42  2.022641597792273E-003 -5.312983404428248E-019 
          43          43  0.421298528822808 5.873980219353309E-017 
          43          44  -8.075670206960979E-002 -4.987385380898243E-018 
          43          45  5.429661988724430E-004 6.493829917954434E-020 
          43          46  9.308728896570860E-004 -9.990887718411264E-019 
          43          47  4.673390629245877E-004 -4.847668121453175E-019 
          43          48  -4.914303787093464E-002 -2.927529046433143E-018 
          43          49  -6.125155320716488E-002 -5.050537977259072E-018 
          43          50  2.293781039215361E-003 2.902394579394808E-018 
          43          51  -1.370738151173850E-003 8.827044364144702E-019 
          43          52  -5.257113538999704E-004 -2.095114127047878E-019 
          43          53  1.721952874934853E-003 1.675094692841257E-018 
          43          54  -4.286442776897011E-002 4.122452006582624E-018 
          43          55  6.897353954571702E-004 -9.098588514419599E-019 
          43          56  -4.696752518114676E-003 -2.314484309828113E-019 
          43          57  -2.316370421708861E-003 2.063405555216493E-019 
          43          58  -9.274669905029577E-004 -3.183120377903620E-019 
          43          59  -1.158925952528993E-004 1.103511984166294E-019 
          43          60  1.448820615904593E-003 -1.912241281572381E-020 
          43          61  3.617578791737115E-004 1.142243758827700E-020 
          43          62  -1.437059667686583E-003 -2.250512031280080E-019 
          43          63  -8.420231700590091E-004 -2.510343708398234E-019 
          43          64  2.983438081203986E-004 -1.151838015101377E-019 
          43          65  -8.368036218438270E-004 -3.609555920915948E-019 
          43          66  -3.874265134147919E-005 -5.088341648055207E-019 
          43          67  -4.893222911466549E-004 1.272788501259420E-020 
          43          68  -5.685614760421036E-004 1.012494604585610E-019 
          43          69  -1.269699657283726E-004 6.229426662440731E-020 
          43          70  -1.145512083553425E-003 3.487836258954018E-019 
          43          71  -1.347569671269388E-003 -1.134958083040091E-020 
          43          72  -7.312091687553368E-004 4.845069813475227E-019 
          43          73  -1.854390556961053E-004 4.743946641391776E-020 
          43          74  -9.181570819038593E-005 7.022595635601826E-020 
